order_id,customer_id,amount,order_date,status
O00211,C00939,4102.33,2025-09-03,shipped
O00212,C00918,48.84,2025-10-12,cancelled
O00213,C00389,1608.98,2025-03-17,refunded
O00214,C00287,4724.39,2025-02-08,delivered
O00215,C00506,1712.17,2025-10-17,refunded
O00216,C00594,2546.06,2025-07-10,delivered
O00217,C00394,1599.71,2025-03-05,pending
O00218,C00834,4725.81,2025-12-07,cancelled
O00219,C00532,1398.50,2025-10-11,pending
O00220,C00356,1431.11,2025-02-10,delivered
O00221,C00499,2200.19,2025-03-10,delivered
O00222,C00621,3769.81,2025-04-22,delivered
O00223,C00145,488.92,2025-09-27,refunded
O00224,C00773,852.57,2025-10-02,refunded
O00225,C00551,3996.97,2025-01-16,pending
O00226,C00379,1023.67,2025-10-14,cancelled
O00227,C00534,639.63,2025-08-10,pending
O00228,C00734,3534.55,2025-02-15,cancelled
O00229,C00506,1322.65,2025-03-09,pending
O00230,C00992,1775.07,2025-02-24,shipped
O00231,C00745,381.01,2025-03-17,delivered
O00232,C00283,2272.79,2025-12-17,pending
O00233,C00724,3442.81,2025-01-14,pending
O00234,C00955,3528.47,2025-09-11,shipped
O00235,C00862,2795.27,2025-11-02,pending
O00236,C00252,693.00,2025-07-28,shipped
O00237,C00690,986.43,2025-08-05,cancelled
O00238,C00834,943.65,2025-08-10,shipped
O00239,C00204,3177.52,2025-02-17,shipped
O00240,C00004,2177.25,2025-08-18,refunded
O00241,C00214,3552.85,2025-01-14,delivered
O00242,C00629,1907.65,2025-10-08,delivered
O00243,C00496,2657.00,2025-03-10,shipped
O00244,C00897,1467.66,2025-08-16,cancelled
O00245,C00613,1792.07,2025-08-10,pending
O00246,C00225,570.71,2025-05-14,cancelled
O00247,C00334,1244.51,2025-07-04,shipped
O00248,C00476,4782.01,2025-11-04,delivered
O00249,C00714,1996.47,2025-03-25,cancelled
O00250,C00861,4025.56,2025-08-20,cancelled
O00251,C00704,1181.95,2025-05-09,refunded
O00252,C00221,4450.15,2025-07-02,refunded
O00253,C00791,1622.73,2025-11-11,cancelled
O00254,C00401,4047.06,2025-07-13,delivered
O00255,C00935,282.62,2025-08-24,shipped
O00256,C00348,3184.97,2025-01-10,cancelled
O00257,C00420,1114.34,2025-03-18,shipped
O00258,C00799,3130.18,2025-10-20,delivered
O00259,C00133,3028.76,2025-01-24,pending
O00260,C00822,1902.15,2025-12-11,delivered
O00261,C00786,3832.40,2025-02-21,pending
O00262,C00532,1060.21,2025-09-07,shipped
O00263,C00859,2683.14,2025-12-08,delivered
O00264,C00821,815.41,2025-06-11,cancelled
O00265,C00221,2769.23,2025-04-01,pending
O00266,C00866,109.94,2025-09-04,refunded
O00267,C00408,3958.80,2025-01-06,delivered
O00268,C00309,130.98,2025-11-25,shipped
O00269,C00035,1369.57,2025-02-27,cancelled
O00270,C00672,2009.75,2025-12-09,pending
O00271,C00079,378.71,2025-12-23,cancelled
O00272,C00021,83.56,2025-09-20,shipped
O00273,C00098,3682.01,2025-07-07,refunded
O00274,C00880,1567.83,2025-06-14,refunded
O00275,C00762,126.93,2025-05-15,shipped
O00276,C00103,1328.71,2025-11-19,cancelled
O00277,C00386,1463.28,2025-02-08,cancelled
O00278,C00575,1400.00,2025-05-23,refunded
O00279,C00519,1230.62,2025-01-16,cancelled
O00280,C00975,1869.96,2025-09-23,pending
O00281,C00464,1128.06,2025-01-13,shipped
O00282,C00458,1855.41,2025-10-04,delivered
O00283,C00341,727.42,2025-11-03,pending
O00284,C00575,854.59,2025-08-19,shipped
O00285,C00086,715.24,2025-10-27,cancelled
O00286,C00536,3617.93,2025-10-25,shipped
O00287,C00061,3839.37,2025-05-14,delivered
O00288,C00759,1695.96,2025-03-02,delivered
O00289,C00706,2830.91,2025-07-28,pending
O00290,C00275,3455.08,2025-09-26,cancelled
O00291,C00559,2504.08,2025-11-08,delivered
O00292,C00473,3547.25,2025-09-18,pending
O00293,C00944,534.17,2025-12-03,cancelled
O00294,C00131,3786.86,2025-03-17,pending
O00295,C00171,994.86,2025-02-02,cancelled
O00296,C00508,861.90,2025-09-16,shipped
O00297,C00767,4372.33,2025-07-13,pending
O00298,C00304,596.74,2025-05-24,delivered
O00299,C00536,1618.71,2025-06-19,shipped
O00300,C00145,1458.08,2025-11-07,refunded
O00301,C00975,3575.23,2025-09-20,delivered
O00302,C00484,2319.77,2025-06-24,shipped
O00303,C00169,2626.65,2025-08-01,delivered
O00304,C00427,904.34,2025-08-03,pending
O00305,C00320,3510.31,2025-04-23,pending
O00306,C00551,2298.38,2025-02-02,refunded
O00307,C00480,2976.33,2025-02-12,refunded
O00308,C00905,1137.89,2025-11-01,shipped
O00309,C00282,1428.10,2025-07-19,delivered
O00310,C00377,3126.26,2025-07-09,refunded
O00311,C00555,3211.58,2025-04-03,refunded
O00312,C00157,523.85,2025-04-09,shipped
O00313,C00270,2822.66,2025-03-26,refunded
O00314,C00602,3227.70,2025-07-11,refunded
O00315,C00791,4268.47,2025-10-09,refunded
O00316,C00685,4547.06,2025-04-06,pending
O00317,C00803,1166.84,2025-04-03,refunded
O00318,C00151,725.23,2025-08-28,pending
O00319,C00332,398.16,2025-01-05,refunded
O00320,C00827,2204.05,2025-11-16,delivered
O00321,C00310,2506.87,2025-02-08,refunded
O00322,C00403,1892.77,2025-07-23,cancelled
O00323,C00364,1565.69,2025-09-11,refunded
O00324,C00081,4417.60,2025-04-06,delivered
O00325,C00729,722.99,2025-07-18,cancelled
O00326,C00502,3478.55,2025-05-22,pending
O00327,C00572,4499.81,2025-11-12,shipped
O00328,C00026,4332.03,2025-08-25,delivered
O00329,C00746,2126.15,2025-10-18,shipped
O00330,C00392,1877.29,2025-12-01,shipped
O00331,C00453,1811.35,2025-04-01,refunded
O00332,C00318,1648.97,2025-06-09,refunded
O00333,C00944,74.84,2025-05-02,delivered
O00334,C00658,2398.89,2025-01-23,delivered
O00335,C00281,3130.10,2025-10-27,pending
O00336,C00884,3592.97,2025-08-20,cancelled
O00337,C00503,877.12,2025-12-28,refunded
O00338,C00827,528.40,2025-06-01,refunded
O00339,C00916,3569.42,2025-12-24,shipped
O00340,C00892,4256.21,2025-02-14,pending
O00341,C00058,2222.46,2025-12-02,delivered
O00342,C00100,4290.87,2025-05-28,shipped
O00343,C00671,3073.88,2025-01-11,delivered
O00344,C00920,3549.45,2025-10-24,delivered
O00345,C00529,80.71,2025-11-13,cancelled
O00346,C00858,3341.94,2025-01-03,shipped
O00347,C00845,3808.85,2025-03-24,delivered
O00348,C00086,871.20,2025-01-09,refunded
O00349,C00204,3446.70,2025-07-06,pending
O00350,C00319,1376.08,2025-06-04,delivered
O00351,C00478,2845.18,2025-12-03,refunded
O00352,C00953,2320.40,2025-02-03,shipped
O00353,C00748,441.22,2025-06-19,pending
O00354,C00786,854.99,2025-01-07,delivered
O00355,C00472,415.56,2025-12-08,delivered
O00356,C00858,3407.64,2025-04-24,shipped
O00357,C00318,276.14,2025-12-10,shipped
O00358,C00286,710.73,2025-06-14,shipped
O00359,C00856,949.34,2025-04-06,delivered
O00360,C00266,3490.82,2025-05-03,cancelled
O00361,C00364,2897.69,2025-06-25,refunded
O00362,C00461,4149.21,2025-11-27,shipped
O00363,C00038,4748.83,2025-10-13,shipped
O00364,C00551,2847.87,2025-12-14,delivered
O00365,C00662,4056.43,2025-05-07,delivered
O00366,C00717,4842.77,2025-09-27,delivered
O00367,C00093,2571.23,2025-04-09,shipped
O00368,C00479,1311.62,2025-02-17,shipped
O00369,C00487,707.68,2025-10-11,delivered
O00370,C00578,1895.77,2025-10-02,delivered
O00371,C00719,532.02,2025-06-28,pending
O00372,C00163,2112.82,2025-06-11,pending
O00373,C00192,4566.61,2025-05-06,cancelled
O00374,C00560,938.94,2025-01-15,refunded
O00375,C00468,2971.94,2025-12-14,cancelled
O00376,C00485,4172.14,2025-05-24,delivered
O00377,C00616,1696.01,2025-11-13,delivered
O00378,C00042,4854.12,2025-04-25,refunded
O00379,C00111,2110.72,2025-05-19,cancelled
O00380,C00608,152.49,2025-09-06,delivered
O00381,C00908,2988.29,2025-12-17,shipped
O00382,C00975,4862.41,2025-03-05,delivered
O00383,C00808,4799.97,2025-02-10,shipped
O00384,C00821,1737.05,2025-07-06,cancelled
O00385,C00001,3296.46,2025-04-06,delivered
O00386,C00315,411.07,2025-04-28,shipped
O00387,C00448,459.93,2025-04-05,refunded
O00388,C00866,3880.29,2025-01-16,shipped
O00389,C00353,508.57,2025-09-22,cancelled
O00390,C00716,1070.33,2025-08-22,cancelled
O00391,C00852,2322.79,2025-04-25,pending
O00392,C00397,651.23,2025-03-13,delivered
O00393,C00920,1423.14,2025-11-24,cancelled
O00394,C00612,1975.31,2025-02-12,cancelled
O00395,C00686,3704.74,2025-10-01,shipped
O00396,C00907,3046.53,2025-04-12,delivered
O00397,C00349,2512.27,2025-01-20,refunded
O00398,C00770,1996.92,2025-02-21,shipped
O00399,C00142,2504.75,2025-01-07,delivered
O00400,C00446,473.32,2025-07-21,shipped
O00401,C00436,762.23,2025-05-13,cancelled
O00402,C00036,1312.49,2025-07-06,shipped
O00403,C00408,3414.88,2025-02-15,pending
O00404,C00355,3433.47,2025-02-21,cancelled
O00405,C00823,4036.51,2025-03-11,shipped
O00406,C00589,2539.78,2025-11-15,pending
O00407,C00498,3272.55,2025-11-13,cancelled
O00408,C00790,282.01,2025-07-09,pending
O00409,C00619,4037.55,2025-08-17,delivered
O00410,C00800,2373.00,2025-06-28,refunded
O00411,C00996,1830.66,2025-03-14,refunded
O00412,C00778,1923.52,2025-11-03,shipped
O00413,C00008,1692.21,2025-12-19,delivered
O00414,C00203,2579.33,2025-10-24,cancelled
O00415,C00446,252.23,2025-05-02,pending
O00416,C00889,2453.21,2025-06-02,refunded
O00417,C00703,1852.79,2025-07-11,delivered
O00418,C00786,4097.66,2025-09-09,shipped
O00419,C00301,1790.86,2025-01-15,delivered
O00420,C00305,3183.55,2025-10-04,delivered
O00421,C00750,192.70,2025-12-13,shipped
O00422,C00180,429.39,2025-02-05,shipped
O00423,C00649,2472.32,2025-05-12,cancelled
O00424,C00706,3090.03,2025-12-27,refunded
O00425,C00583,2297.51,2025-02-11,delivered
O00426,C00040,742.28,2025-12-21,pending
O00427,C00392,2568.04,2025-12-03,delivered
O00428,C00950,3187.34,2025-05-14,cancelled
O00429,C00023,927.81,2025-12-09,pending
O00430,C00857,4562.61,2025-02-26,shipped
O00431,C00585,1312.27,2025-05-20,refunded
O00432,C00553,4272.68,2025-04-23,pending
O00433,C00384,2870.95,2025-04-25,cancelled
O00434,C00282,3736.88,2025-03-09,refunded
O00435,C00688,238.25,2025-07-06,delivered
O00436,C00280,35.20,2025-04-01,cancelled
O00437,C00673,657.54,2025-05-15,refunded
O00438,C00810,4879.73,2025-06-04,shipped
O00439,C00231,100.18,2025-06-08,pending
O00440,C00627,1446.28,2025-12-20,cancelled
O00441,C00603,2109.62,2025-10-11,refunded
O00442,C00399,2383.26,2025-09-01,delivered
O00443,C00349,1605.02,2025-08-05,cancelled
O00444,C00875,3715.43,2025-04-18,shipped
O00445,C00690,1956.41,2025-07-02,refunded
O00446,C00991,402.26,2025-08-18,delivered
O00447,C00086,1045.68,2025-09-12,delivered
O00448,C00299,3756.78,2025-08-22,cancelled
O00449,C00031,787.94,2025-10-06,refunded
O00450,C00361,2828.81,2025-07-25,pending
O00451,C00770,4867.05,2025-09-24,cancelled
O00452,C00241,1882.67,2025-09-05,cancelled
O00453,C00622,4744.61,2025-02-04,cancelled
O00454,C00224,1064.41,2025-02-19,delivered
O00455,C00183,4325.82,2025-12-13,refunded
O00456,C00419,1766.60,2025-04-14,refunded
O00457,C00286,1603.82,2025-06-21,pending
O00458,C00681,4424.94,2025-11-25,delivered
O00459,C00515,2682.78,2025-07-08,cancelled
O00460,C00507,3786.57,2025-05-27,cancelled
O00461,C00161,4620.31,2025-03-13,delivered
O00462,C00004,2668.00,2025-06-25,cancelled
O00463,C00672,869.63,2025-02-13,refunded
O00464,C00669,2096.32,2025-07-14,shipped
O00465,C00652,154.91,2025-04-05,refunded
O00466,C00635,2521.77,2025-02-20,refunded
O00467,C00750,2049.79,2025-01-11,refunded
O00468,C00256,840.63,2025-11-16,pending
O00469,C00975,1857.78,2025-12-20,cancelled
O00470,C00566,2561.56,2025-04-28,shipped
O00471,C00469,1851.63,2025-04-06,cancelled
O00472,C00960,3566.83,2025-04-11,shipped
O00473,C00301,333.42,2025-01-07,refunded
O00474,C00473,2301.37,2025-11-20,cancelled
O00475,C00248,3985.80,2025-08-17,pending
O00476,C00823,3023.99,2025-06-28,shipped
O00477,C00251,2316.44,2025-02-01,pending
O00478,C00699,3387.59,2025-09-16,cancelled
O00479,C00073,3917.38,2025-05-23,refunded
O00480,C00124,3581.82,2025-10-21,refunded
O00481,C00732,128.36,2025-08-27,pending
O00482,C00300,4060.20,2025-12-25,pending
O00483,C00373,2003.15,2025-09-21,cancelled
O00484,C00439,3939.24,2025-02-05,delivered
O00485,C00777,4127.89,2025-02-24,shipped
O00486,C00376,2070.34,2025-06-05,shipped
O00487,C00815,2418.13,2025-05-04,delivered
O00488,C00658,3471.64,2025-08-23,cancelled
O00489,C00771,1231.19,2025-05-11,delivered
O00490,C00706,2228.91,2025-08-23,delivered
O00491,C00582,1383.74,2025-01-25,shipped
O00492,C00152,2613.68,2025-01-08,delivered
O00493,C00578,1819.99,2025-05-10,shipped
O00494,C00582,3173.13,2025-08-23,cancelled
O00495,C00690,1481.45,2025-12-26,shipped
O00496,C00151,3041.17,2025-07-09,shipped
O00497,C00029,4256.09,2025-10-10,shipped
O00498,C00599,70.21,2025-06-24,refunded
O00499,C00764,4352.46,2025-09-13,cancelled
O00500,C00634,4501.02,2025-06-21,shipped
O00501,C00602,4264.53,2025-06-17,delivered
O00502,C00388,4328.39,2025-08-21,shipped
O00503,C00892,2630.93,2025-03-16,cancelled
O00504,C00015,3347.04,2025-02-11,shipped
O00505,C00317,1040.08,2025-03-09,refunded
O00506,C00797,3646.52,2025-02-21,shipped
O00507,C00366,2498.96,2025-10-21,pending
O00508,C00861,3733.82,2025-09-08,shipped
O00509,C00373,3324.58,2025-07-21,pending
O00510,C00975,1654.28,2025-02-09,refunded
O00511,C00985,2678.42,2025-12-18,pending
O00512,C00994,3991.61,2025-08-19,refunded
O00513,C00254,1231.01,2025-12-06,shipped
O00514,C00234,3451.29,2025-08-06,pending
O00515,C00624,1336.16,2025-05-03,shipped
O00516,C00751,4155.15,2025-02-05,refunded
O00517,C00311,313.72,2025-04-08,refunded
O00518,C00780,2910.54,2025-08-04,refunded
O00519,C00903,3909.25,2025-06-26,pending
O00520,C00202,2396.71,2025-08-03,cancelled
O00521,C00203,508.38,2025-10-07,refunded
O00522,C00499,1506.81,2025-01-19,cancelled
O00523,C00882,4525.89,2025-12-15,shipped
O00524,C00604,4030.77,2025-10-25,cancelled
O00525,C00001,1266.22,2025-07-20,delivered
O00526,C00505,3159.33,2025-06-17,cancelled
O00527,C00527,1425.94,2025-11-10,delivered
O00528,C00889,2665.63,2025-06-09,refunded
O00529,C00516,1550.93,2025-08-04,shipped
O00530,C00500,42.52,2025-09-16,cancelled
O00531,C00168,902.19,2025-07-22,delivered
O00532,C00097,4627.22,2025-08-11,refunded
O00533,C00843,921.45,2025-02-25,shipped
O00534,C00219,1542.93,2025-05-11,refunded
O00535,C00484,523.56,2025-05-20,shipped
O00536,C00585,3362.72,2025-06-06,shipped
O00537,C00785,1987.24,2025-03-28,shipped
O00538,C00625,3316.33,2025-06-17,cancelled
O00539,C00670,2980.20,2025-07-25,delivered
O00540,C00235,4664.89,2025-08-28,delivered
O00541,C00380,733.48,2025-06-24,delivered
O00542,C00850,3728.62,2025-08-10,cancelled
O00543,C00577,1973.78,2025-07-01,cancelled
O00544,C00057,4843.71,2025-06-21,shipped
O00545,C00999,2289.88,2025-05-01,shipped
O00546,C00214,3313.65,2025-05-10,delivered
O00547,C00025,1616.01,2025-07-11,refunded
O00548,C00574,3697.69,2025-04-20,refunded
O00549,C00451,4283.45,2025-02-03,shipped
O00550,C00165,1634.16,2025-08-24,refunded
O00551,C00482,4760.71,2025-01-25,cancelled
O00552,C00705,4799.06,2025-12-16,shipped
O00553,C00287,4934.78,2025-10-13,pending
O00554,C00104,290.01,2025-06-09,refunded
O00555,C00379,2196.24,2025-05-04,cancelled
O00556,C00138,4405.44,2025-02-11,cancelled
O00557,C00845,767.35,2025-03-19,delivered
O00558,C00588,1007.97,2025-02-15,shipped
O00559,C00336,2867.94,2025-11-09,refunded
O00560,C00544,4088.38,2025-12-01,shipped
O00561,C00791,3851.83,2025-12-23,delivered
O00562,C00981,4268.63,2025-08-24,shipped
O00563,C00189,1613.12,2025-04-15,delivered
O00564,C00342,1002.94,2025-12-09,delivered
O00565,C00619,3740.77,2025-01-05,pending
O00566,C00658,2059.79,2025-07-26,cancelled
O00567,C00818,249.68,2025-09-02,refunded
O00568,C00383,90.84,2025-07-02,refunded
O00569,C00895,3993.41,2025-09-16,delivered
O00570,C00589,1675.43,2025-02-24,pending
O00571,C00579,469.80,2025-09-25,pending
O00572,C00545,799.54,2025-09-28,pending
O00573,C00588,4613.26,2025-10-21,shipped
O00574,C00770,374.69,2025-11-14,delivered
O00575,C00477,2261.93,2025-12-05,delivered
O00576,C00075,916.55,2025-10-11,cancelled
O00577,C00541,3907.75,2025-12-27,cancelled
O00578,C00911,117.20,2025-10-10,pending
O00579,C00639,4142.83,2025-01-01,shipped
O00580,C00331,2141.48,2025-05-28,shipped
O00581,C00599,3375.95,2025-06-18,cancelled
O00582,C00670,3330.36,2025-10-12,refunded
O00583,C00157,952.35,2025-03-07,delivered
O00584,C00186,513.47,2025-09-20,pending
O00585,C00799,645.34,2025-06-03,delivered
O00586,C00892,1583.53,2025-04-22,shipped
