payment_id,order_id,amount,method,paid_at
P00095,O00567,1609.11,check,2025-10-17
P00096,O00178,590.47,wire,2025-11-08
P00097,O00211,2992.67,wire,2025-03-21
P00098,O00830,2487.29,ach,2025-07-16
P00099,O00735,1357.35,crypto,2025-08-18
P00100,O00350,735.97,crypto,2025-02-09
P00101,O00128,4832.74,crypto,2025-07-01
P00102,O00069,948.70,wire,2025-08-15
P00103,O00958,4954.31,crypto,2025-05-17
P00104,O00582,2105.36,wire,2025-01-14
P00105,O00644,4908.57,crypto,2025-02-16
P00106,O00448,1937.49,card,2025-03-06
P00107,O00126,1809.87,card,2025-01-28
P00108,O00072,1390.39,crypto,2025-09-09
P00109,O00131,3920.43,check,2025-04-02
P00110,O00913,3303.18,card,2025-01-04
P00111,O00346,4884.30,wire,2025-05-14
P00112,O00247,1156.29,crypto,2025-10-19
P00113,O00770,1337.35,crypto,2025-06-27
P00114,O00243,762.76,crypto,2025-10-11
P00115,O00781,1103.26,check,2025-04-18
P00116,O00632,92.12,ach,2025-02-19
P00117,O00759,3072.59,wire,2025-08-04
P00118,O00098,1234.73,check,2025-04-08
P00119,O00471,3049.99,ach,2025-04-09
P00120,O00110,20.83,wire,2025-07-19
P00121,O00882,3000.58,check,2025-08-07
P00122,O00238,506.33,card,2025-07-23
P00123,O00455,2215.43,check,2025-10-25
P00124,O00390,120.02,wire,2025-04-22
P00125,O00504,2186.07,crypto,2025-06-11
P00126,O00022,2497.67,crypto,2025-07-27
P00127,O00453,3034.74,wire,2025-03-23
P00128,O00080,3006.76,check,2025-03-26
P00129,O00414,1039.62,wire,2025-06-13
P00130,O00281,1247.58,wire,2025-04-13
P00131,O00615,4389.26,card,2025-11-19
P00132,O00250,3229.16,card,2025-08-23
P00133,O00820,114.29,crypto,2025-06-12
P00134,O00391,107.37,check,2025-12-15
P00135,O00932,2123.57,check,2025-05-12
P00136,O00235,1349.26,wire,2025-08-06
P00137,O00173,1099.59,crypto,2025-11-17
P00138,O00614,2657.03,ach,2025-01-13
P00139,O00374,244.65,ach,2025-02-23
P00140,O00938,797.97,crypto,2025-12-18
P00141,O00052,1255.70,crypto,2025-05-15
P00142,O00153,1469.30,check,2025-05-28
P00143,O00938,934.17,check,2025-05-06
P00144,O00534,338.56,card,2025-10-02
P00145,O00587,3274.84,ach,2025-05-18
P00146,O00482,4710.37,ach,2025-04-01
P00147,O00828,4806.90,crypto,2025-12-03
P00148,O00069,3865.32,wire,2025-03-18
P00149,O00128,3896.40,crypto,2025-06-24
P00150,O00184,767.83,ach,2025-04-26
P00151,O00009,1630.76,ach,2025-05-17
P00152,O00833,108.49,crypto,2025-01-13
P00153,O00139,839.17,check,2025-03-28
P00154,O00136,1213.42,crypto,2025-06-19
P00155,O00802,1399.99,ach,2025-08-06
P00156,O00728,553.83,ach,2025-03-21
P00157,O00621,3773.80,card,2025-07-05
P00158,O00001,1439.58,crypto,2025-08-22
P00159,O00773,1978.11,crypto,2025-12-13
P00160,O00911,2627.63,crypto,2025-06-26
P00161,O00621,2889.47,check,2025-05-17
P00162,O00960,2041.35,crypto,2025-08-05
P00163,O00825,186.90,card,2025-10-12
P00164,O00863,1495.72,crypto,2025-07-13
P00165,O00385,1501.09,card,2025-06-16
P00166,O00204,3752.81,ach,2025-07-25
P00167,O00654,3752.99,check,2025-10-26
P00168,O00777,3747.38,wire,2025-07-08
P00169,O00146,86.81,ach,2025-08-09
P00170,O00499,1999.20,check,2025-06-07
P00171,O00475,656.42,card,2025-04-05
P00172,O00919,3201.91,card,2025-05-12
P00173,O00055,1756.02,check,2025-11-28
P00174,O00444,395.23,wire,2025-06-27
P00175,O00525,2760.28,card,2025-08-03
P00176,O00361,1660.60,wire,2025-09-06
P00177,O00012,4960.54,ach,2025-12-23
P00178,O00576,1351.70,card,2025-09-07
P00179,O00646,2607.85,card,2025-08-13
P00180,O00343,3993.56,check,2025-06-20
P00181,O00335,1428.21,card,2025-09-19
P00182,O00127,4418.25,check,2025-07-25
P00183,O00527,185.60,crypto,2025-12-24
P00184,O00580,2532.21,ach,2025-07-11
P00185,O00677,3572.78,wire,2025-03-05
P00186,O00781,4575.40,card,2025-10-13
P00187,O00283,1975.03,card,2025-01-10
P00188,O00013,4768.03,ach,2025-07-19
P00189,O00199,2090.86,ach,2025-07-18
P00190,O00582,1279.46,ach,2025-01-03
P00191,O00168,4294.91,wire,2025-12-16
P00192,O00806,335.11,check,2025-03-22
P00193,O00506,575.61,check,2025-06-20
P00194,O00746,4897.39,check,2025-05-19
P00195,O00572,2741.89,wire,2025-11-22
P00196,O00335,2635.91,crypto,2025-09-22
P00197,O00286,4031.91,ach,2025-04-27
P00198,O00023,2172.20,wire,2025-06-17
P00199,O00308,2496.88,check,2025-01-19
P00200,O00308,4009.36,wire,2025-02-27
P00201,O00152,2777.30,ach,2025-04-15
P00202,O00927,770.52,card,2025-12-18
P00203,O00518,1818.15,check,2025-07-19
P00204,O00340,1498.93,ach,2025-03-20
P00205,O00493,4742.72,card,2025-06-02
P00206,O00447,2032.59,check,2025-03-14
P00207,O00485,4891.90,wire,2025-06-04
P00208,O00316,1182.23,check,2025-07-19
P00209,O00220,2029.56,ach,2025-05-08
P00210,O00626,4023.62,wire,2025-03-20
P00211,O00335,2969.26,card,2025-02-03
P00212,O00085,3981.99,card,2025-03-18
P00213,O00439,2465.78,card,2025-12-21
P00214,O00156,4959.23,card,2025-08-06
P00215,O00034,671.75,wire,2025-11-22
P00216,O00941,4134.65,wire,2025-11-19
P00217,O00090,206.95,wire,2025-06-04
P00218,O00040,4981.60,card,2025-01-20
P00219,O00001,4108.04,ach,2025-03-13
P00220,O00844,4967.44,card,2025-05-19
P00221,O00299,3079.10,crypto,2025-02-27
P00222,O00628,1425.80,card,2025-08-20
P00223,O00873,1303.61,crypto,2025-02-16
P00224,O00622,1122.84,wire,2025-01-13
P00225,O00873,1696.59,ach,2025-12-16
P00226,O00830,2265.28,crypto,2025-05-10
P00227,O00670,3529.76,check,2025-07-26
P00228,O00953,1179.45,wire,2025-11-11
P00229,O00216,1207.20,ach,2025-12-05
P00230,O00038,401.87,crypto,2025-02-05
P00231,O00111,4991.14,ach,2025-03-24
P00232,O00076,1415.96,wire,2025-12-11
P00233,O00594,1200.07,check,2025-07-14
P00234,O00126,4649.72,crypto,2025-12-19
P00235,O00310,4687.49,ach,2025-08-21
P00236,O00035,1824.23,check,2025-04-12
P00237,O00068,249.32,wire,2025-07-06
P00238,O00833,2490.60,check,2025-12-28
P00239,O00332,2250.81,wire,2025-12-23
P00240,O00433,3293.73,crypto,2025-12-06
P00241,O00008,4346.52,ach,2025-05-14
P00242,O00096,2437.04,wire,2025-03-02
P00243,O00906,706.00,crypto,2025-10-16
P00244,O00981,1392.92,ach,2025-12-06
P00245,O00428,197.05,card,2025-11-12
P00246,O00729,1718.10,crypto,2025-06-11
P00247,O00003,527.46,crypto,2025-04-07
P00248,O00152,1665.93,crypto,2025-05-17
P00249,O00401,4448.48,crypto,2025-10-20
P00250,O00202,2177.51,card,2025-08-24
P00251,O00606,2737.88,crypto,2025-08-02
P00252,O00292,1666.36,check,2025-10-21
P00253,O00989,3960.23,check,2025-07-15
P00254,O00937,4422.42,crypto,2025-04-11
P00255,O00855,2956.51,check,2025-05-10
P00256,O00913,3262.01,card,2025-04-22
P00257,O00927,2899.92,check,2025-05-01
P00258,O00544,1149.96,ach,2025-08-08
P00259,O00407,16.24,card,2025-02-26
P00260,O00823,1371.81,crypto,2025-07-01
P00261,O00514,4343.39,wire,2025-10-22
P00262,O00053,2485.69,crypto,2025-04-18
P00263,O00678,2764.03,card,2025-04-13
P00264,O00575,3629.98,ach,2025-09-21
P00265,O00206,75.99,check,2025-02-11
P00266,O00663,1231.75,check,2025-01-04
P00267,O00133,4655.75,wire,2025-03-22
P00268,O00300,3360.70,check,2025-03-14
P00269,O00209,3647.16,wire,2025-02-25
P00270,O00955,1447.45,crypto,2025-12-18
P00271,O00655,347.61,ach,2025-02-28
P00272,O00960,21.62,ach,2025-02-25
P00273,O00789,3973.16,wire,2025-03-04
P00274,O00784,2259.20,card,2025-09-25
P00275,O00856,3898.79,check,2025-09-04
P00276,O00493,3341.65,wire,2025-02-12
P00277,O00808,464.69,ach,2025-07-26
P00278,O00194,2728.80,wire,2025-12-01
P00279,O00933,4569.83,card,2025-02-06
P00280,O00150,1713.80,crypto,2025-12-18
P00281,O00199,2396.06,wire,2025-01-11
P00282,O00874,1949.44,check,2025-02-26
P00283,O00525,3880.43,check,2025-04-06
P00284,O00195,3107.27,check,2025-10-24
P00285,O00715,339.17,ach,2025-11-25
P00286,O00507,2789.50,check,2025-07-11
P00287,O00658,1847.51,card,2025-01-15
P00288,O00193,23.59,wire,2025-01-22
P00289,O00957,1865.82,wire,2025-07-24
P00290,O00858,42.15,wire,2025-08-03
P00291,O00138,4215.90,crypto,2025-09-18
P00292,O00785,586.89,ach,2025-08-16
P00293,O00567,4980.70,wire,2025-02-20
P00294,O00831,167.24,wire,2025-04-10
P00295,O00550,4111.71,wire,2025-01-28
P00296,O00110,279.29,wire,2025-11-05
P00297,O00713,1295.12,check,2025-03-09
P00298,O00349,4249.44,card,2025-09-12
P00299,O00077,2493.94,wire,2025-07-01
P00300,O00027,4906.36,wire,2025-03-23
P00301,O00096,4348.18,crypto,2025-10-20
P00302,O00873,505.11,card,2025-02-09
P00303,O00787,1672.26,card,2025-03-19
P00304,O00218,2913.23,card,2025-04-02
P00305,O00284,1560.89,crypto,2025-09-28
P00306,O00082,4058.83,crypto,2025-10-28
P00307,O00708,2732.59,crypto,2025-11-10
P00308,O00103,4477.15,card,2025-05-14
P00309,O00096,3291.20,wire,2025-12-02
P00310,O00141,348.39,crypto,2025-01-04
P00311,O00913,2387.50,check,2025-06-13
P00312,O00555,538.92,ach,2025-10-18
P00313,O00917,3971.57,card,2025-06-06
P00314,O00190,3244.19,crypto,2025-12-28
P00315,O00107,3156.04,card,2025-08-07
P00316,O00747,3542.27,ach,2025-12-27
P00317,O00885,3413.83,ach,2025-07-01
P00318,O00698,2617.26,wire,2025-10-26
P00319,O00748,3882.43,ach,2025-08-18
P00320,O00244,301.56,ach,2025-10-22
P00321,O00398,966.40,crypto,2025-05-12
P00322,O00140,2025.58,crypto,2025-07-19
P00323,O00295,1350.45,crypto,2025-02-23
P00324,O00431,1278.72,crypto,2025-08-01
P00325,O00118,2030.70,ach,2025-12-09
P00326,O00708,645.31,ach,2025-11-19
P00327,O00123,4836.04,ach,2025-03-23
P00328,O00042,1158.12,ach,2025-12-02
P00329,O00749,365.64,check,2025-03-07
P00330,O00284,4797.20,crypto,2025-01-21
P00331,O00216,3587.60,card,2025-07-04
P00332,O00350,1035.64,ach,2025-03-24
P00333,O00664,3929.06,wire,2025-06-14
P00334,O00388,3299.30,wire,2025-08-22
P00335,O00207,4289.49,ach,2025-04-13
P00336,O00362,944.06,ach,2025-08-16
P00337,O00972,1373.12,card,2025-05-01
P00338,O00444,2320.59,card,2025-01-24
P00339,O00470,2623.79,ach,2025-07-04
P00340,O00903,1439.61,wire,2025-05-06
P00341,O00437,3846.42,check,2025-09-03
P00342,O00601,2274.87,wire,2025-11-08
P00343,O00461,1008.62,wire,2025-08-13
P00344,O00277,806.49,ach,2025-08-05
P00345,O00018,3906.13,check,2025-07-08
P00346,O00972,2760.97,ach,2025-02-09
P00347,O00739,1857.32,wire,2025-12-04
P00348,O00279,4310.70,crypto,2025-05-24
P00349,O00414,106.40,crypto,2025-02-08
P00350,O00921,1417.65,ach,2025-11-18
P00351,O00877,3069.90,crypto,2025-03-21
P00352,O00509,4887.37,card,2025-03-01
P00353,O00336,3843.62,crypto,2025-07-19
P00354,O00350,12.30,ach,2025-03-04
P00355,O00751,1535.16,check,2025-05-23
P00356,O00824,1363.35,ach,2025-11-13
P00357,O00686,4210.34,crypto,2025-10-19
P00358,O00366,484.97,check,2025-10-07
P00359,O00912,1228.20,card,2025-06-12
P00360,O00483,3795.84,crypto,2025-06-16
P00361,O00234,2156.96,crypto,2025-01-23
P00362,O00079,520.45,ach,2025-04-14
P00363,O00888,224.16,check,2025-07-18
P00364,O00757,367.66,crypto,2025-08-23
P00365,O00139,1107.56,ach,2025-04-12
P00366,O00100,187.90,card,2025-10-14
P00367,O00124,4956.62,crypto,2025-08-07
P00368,O00096,1707.37,ach,2025-10-04
P00369,O00096,4028.05,crypto,2025-09-24
P00370,O00645,4691.67,ach,2025-01-16
P00371,O00706,1389.02,ach,2025-11-25
P00372,O00713,3644.68,check,2025-04-26
P00373,O00422,4437.90,card,2025-02-17
P00374,O00597,1150.50,crypto,2025-05-01
P00375,O00438,3483.41,wire,2025-08-18
P00376,O00713,825.65,card,2025-11-19
P00377,O00022,3338.16,ach,2025-03-27
P00378,O00161,1174.93,card,2025-12-06
P00379,O00201,4137.25,ach,2025-03-10
P00380,O00472,311.07,check,2025-04-20
P00381,O00138,162.30,ach,2025-06-21
P00382,O00775,4401.43,wire,2025-11-14
P00383,O00158,3441.15,ach,2025-08-13
P00384,O00008,861.02,card,2025-09-06
P00385,O00701,4215.32,check,2025-02-03
P00386,O00783,791.88,card,2025-03-14
P00387,O00112,2175.92,ach,2025-05-23
P00388,O00533,3570.04,crypto,2025-10-19
P00389,O00338,4432.51,ach,2025-10-18
P00390,O00677,2838.63,check,2025-07-06
P00391,O00626,4184.27,check,2025-05-11
P00392,O00267,3033.38,card,2025-04-13
P00393,O00303,1880.75,crypto,2025-08-03
P00394,O00896,2909.11,ach,2025-01-08
P00395,O00755,3502.85,card,2025-09-16
P00396,O00405,4547.12,crypto,2025-12-24
P00397,O00837,680.41,crypto,2025-03-18
P00398,O00897,1162.84,ach,2025-04-02
P00399,O00521,4292.22,crypto,2025-02-08
P00400,O00552,2763.63,wire,2025-09-18
P00401,O00096,1301.99,wire,2025-09-05
P00402,O00848,895.66,check,2025-08-28
P00403,O00859,1030.48,ach,2025-12-21
P00404,O00092,2592.19,crypto,2025-08-03
P00405,O00433,3605.99,crypto,2025-02-24
P00406,O00779,1612.60,ach,2025-11-09
P00407,O00868,1691.72,card,2025-01-25
P00408,O00028,3877.64,card,2025-12-01
P00409,O00086,1615.87,crypto,2025-02-03
P00410,O00705,956.16,card,2025-08-26
P00411,O00916,2697.46,wire,2025-01-26
P00412,O00646,3743.62,crypto,2025-01-24
P00413,O00154,4942.07,wire,2025-07-22
P00414,O00118,3974.47,crypto,2025-11-10
P00415,O00771,1464.23,ach,2025-02-18
P00416,O00833,743.98,crypto,2025-09-16
P00417,O00295,2458.24,card,2025-03-06
P00418,O00845,3817.33,crypto,2025-10-26
P00419,O00044,1574.00,check,2025-01-17
P00420,O00446,2339.23,card,2025-10-02
P00421,O00003,3311.88,ach,2025-07-12
P00422,O00652,1710.74,wire,2025-12-17
P00423,O00282,2652.53,check,2025-07-19
P00424,O00126,1182.83,ach,2025-05-17
P00425,O00234,4953.38,wire,2025-11-02
P00426,O00375,1554.08,ach,2025-10-13
P00427,O00748,214.16,card,2025-11-16
P00428,O00055,2036.63,ach,2025-07-20
P00429,O00877,3072.97,check,2025-10-12
P00430,O00806,4993.71,crypto,2025-11-28
P00431,O00947,2631.48,ach,2025-02-02
P00432,O00275,4010.96,card,2025-07-09
P00433,O00855,2645.24,crypto,2025-09-24
P00434,O00006,1311.73,wire,2025-11-06
P00435,O00561,4742.48,check,2025-04-17
P00436,O00199,1893.55,ach,2025-09-21
P00437,O00066,2001.55,ach,2025-03-22
P00438,O00068,711.80,check,2025-10-22
P00439,O00303,3631.32,crypto,2025-10-21
P00440,O00686,3336.56,wire,2025-07-10
P00441,O00163,108.44,check,2025-12-05
P00442,O00378,3612.64,crypto,2025-07-07
P00443,O00107,1551.38,wire,2025-02-15
P00444,O00895,208.69,check,2025-05-21
P00445,O00400,787.58,wire,2025-05-28
P00446,O00895,216.38,check,2025-04-24
P00447,O00692,1848.39,crypto,2025-11-06
P00448,O00301,962.40,card,2025-11-03
P00449,O00482,1889.47,check,2025-05-28
P00450,O00298,2567.34,crypto,2025-09-01
P00451,O00791,1133.20,card,2025-06-08
P00452,O00570,3488.54,crypto,2025-03-27
P00453,O00283,1661.10,ach,2025-08-20
P00454,O00852,3487.47,wire,2025-01-10
P00455,O00704,3197.21,wire,2025-04-07
P00456,O00939,1084.59,wire,2025-04-27
P00457,O00539,1292.30,wire,2025-12-04
P00458,O00405,3643.61,ach,2025-02-03
P00459,O00097,3557.97,check,2025-09-15
P00460,O00739,4393.59,card,2025-09-02
P00461,O00622,4878.07,ach,2025-10-03
P00462,O00647,3395.52,check,2025-04-05
P00463,O00415,3221.92,ach,2025-01-14
P00464,O00876,178.61,card,2025-02-25
P00465,O00627,3807.96,check,2025-06-13
P00466,O00098,2311.26,crypto,2025-07-25
P00467,O00566,3602.83,crypto,2025-01-01
P00468,O00934,928.22,card,2025-01-19
P00469,O00110,1676.27,check,2025-02-18
P00470,O00131,4188.80,crypto,2025-01-08
P00471,O00705,1889.57,check,2025-11-23
P00472,O00510,1323.12,wire,2025-10-04
P00473,O00984,3625.26,check,2025-01-20
P00474,O00697,1072.44,wire,2025-10-26
P00475,O00355,673.96,card,2025-02-10
P00476,O00619,359.21,card,2025-09-21
P00477,O00791,2877.27,card,2025-09-10
P00478,O00232,1160.59,crypto,2025-08-11
P00479,O00859,136.75,ach,2025-07-07
P00480,O00175,4075.66,ach,2025-04-20
P00481,O00617,2531.73,card,2025-04-15
P00482,O00282,1679.28,check,2025-02-03
P00483,O00262,4669.22,wire,2025-03-17
P00484,O00549,2039.20,card,2025-06-21
P00485,O00022,3891.20,wire,2025-04-16
P00486,O00959,1980.51,check,2025-12-02
P00487,O00532,3469.96,card,2025-12-05
P00488,O00437,3902.63,card,2025-01-07
P00489,O00896,4951.34,crypto,2025-04-12
P00490,O00400,1992.16,crypto,2025-02-27
P00491,O00893,3814.87,check,2025-03-22
P00492,O00467,368.03,ach,2025-02-06
P00493,O00787,1096.93,wire,2025-06-02
P00494,O00838,2151.82,crypto,2025-03-14
P00495,O00586,548.32,check,2025-07-25
P00496,O00575,3222.53,ach,2025-10-07
P00497,O00538,4157.80,wire,2025-12-02
P00498,O00119,1214.29,crypto,2025-01-26
P00499,O00541,4925.81,ach,2025-06-10
P00500,O00244,2387.05,crypto,2025-12-17
P00501,O00140,2040.25,ach,2025-04-21
P00502,O00384,3074.47,card,2025-01-04
P00503,O00684,1855.96,card,2025-10-27
P00504,O00049,2539.46,crypto,2025-10-23
P00505,O00067,4017.42,wire,2025-10-06
P00506,O00958,83.79,check,2025-05-19
P00507,O00827,832.18,crypto,2025-12-19
P00508,O00639,4713.24,check,2025-10-19
P00509,O00828,1882.46,wire,2025-09-21
P00510,O00620,3798.68,check,2025-02-17
P00511,O00303,730.18,wire,2025-10-13
P00512,O00653,4759.92,ach,2025-03-11
P00513,O00579,519.21,card,2025-09-10
P00514,O00584,3095.82,ach,2025-03-07
P00515,O00111,928.85,ach,2025-05-25
P00516,O00145,3882.46,check,2025-07-19
P00517,O00574,4803.34,card,2025-07-20
P00518,O00717,119.69,crypto,2025-08-05
P00519,O00408,3203.00,check,2025-07-01
P00520,O00658,2212.74,ach,2025-05-18
P00521,O00966,4973.49,ach,2025-09-20
P00522,O00226,1632.26,crypto,2025-06-21
P00523,O00250,4493.12,crypto,2025-03-22
P00524,O00919,2807.96,card,2025-05-27
P00525,O00004,4486.77,check,2025-11-04
P00526,O00146,4511.73,crypto,2025-10-14
P00527,O00350,154.55,ach,2025-07-19
P00528,O00782,1796.82,ach,2025-07-22
P00529,O00273,472.02,crypto,2025-07-19
P00530,O00388,1726.86,card,2025-04-01
P00531,O00576,2412.24,check,2025-02-22
P00532,O00851,3429.93,ach,2025-04-26
P00533,O00542,1571.90,wire,2025-02-09
P00534,O00864,964.24,wire,2025-07-18
P00535,O00153,1206.80,wire,2025-09-09
P00536,O00642,4495.47,card,2025-03-16
P00537,O00771,1122.55,card,2025-11-28
P00538,O00527,2174.07,check,2025-07-03
P00539,O00057,588.34,check,2025-09-07
P00540,O00077,410.66,ach,2025-10-11
P00541,O00844,4847.62,card,2025-01-03
P00542,O00385,2641.42,crypto,2025-11-09
P00543,O00083,1468.71,crypto,2025-02-28
P00544,O00756,1610.36,check,2025-07-25
P00545,O00182,4315.18,crypto,2025-04-28
P00546,O00597,4747.37,check,2025-11-05
P00547,O00052,3651.23,ach,2025-11-09
P00548,O00277,89.01,check,2025-08-15
P00549,O00614,1411.10,ach,2025-01-23
P00550,O00966,2247.88,ach,2025-12-13
P00551,O00782,4315.77,ach,2025-10-05
P00552,O00353,102.22,card,2025-12-28
P00553,O00504,3626.32,check,2025-07-02
P00554,O00165,2829.28,crypto,2025-02-25
P00555,O00797,1321.41,check,2025-09-22
P00556,O00547,1317.68,ach,2025-04-07
P00557,O00465,1164.40,ach,2025-06-12
P00558,O00733,4653.40,ach,2025-06-13
P00559,O00112,2338.63,card,2025-08-01
P00560,O00210,4248.48,ach,2025-11-04
P00561,O00081,3016.62,card,2025-07-04
P00562,O00225,3752.94,ach,2025-09-22
P00563,O00326,666.12,check,2025-09-19
P00564,O01000,1728.10,card,2025-04-07
P00565,O00459,376.31,crypto,2025-05-10
P00566,O00271,2964.81,ach,2025-10-11
P00567,O00049,708.55,check,2025-05-17
P00568,O00045,4865.53,card,2025-07-09
P00569,O00292,4974.67,ach,2025-08-07
P00570,O00699,1254.38,card,2025-07-16
P00571,O00548,545.87,ach,2025-08-24
P00572,O00810,2500.79,crypto,2025-03-06
P00573,O00077,75.00,ach,2025-11-03
P00574,O00900,2460.42,crypto,2025-09-27
P00575,O00187,516.18,ach,2025-05-17
P00576,O00953,4868.52,ach,2025-10-18
P00577,O00349,3674.07,check,2025-12-22
P00578,O00622,2192.47,check,2025-04-28
P00579,O00843,2699.10,card,2025-09-06
P00580,O00557,3409.25,wire,2025-07-01
P00581,O00347,1148.40,check,2025-12-01
P00582,O00505,3929.11,crypto,2025-09-24
P00583,O00652,2146.30,card,2025-08-16
P00584,O00717,310.14,check,2025-04-13
P00585,O00531,3900.53,ach,2025-01-12
P00586,O00783,16.25,crypto,2025-03-03
P00587,O00675,4204.20,ach,2025-04-21
P00588,O00358,1642.81,ach,2025-02-13
P00589,O00696,4367.89,wire,2025-01-25
P00590,O00344,2697.68,check,2025-02-22
P00591,O00272,2027.65,ach,2025-12-03
P00592,O00536,3258.25,ach,2025-02-19
P00593,O00143,1640.33,check,2025-08-25
P00594,O00609,4774.68,crypto,2025-10-18
P00595,O00792,3410.90,ach,2025-07-20
P00596,O00624,2711.58,crypto,2025-01-06
P00597,O00130,4461.42,card,2025-06-26
P00598,O00035,4757.24,ach,2025-11-27
P00599,O00556,2168.59,crypto,2025-12-23
P00600,O00257,2539.27,wire,2025-11-05
P00601,O00306,4413.04,wire,2025-12-20
P00602,O00525,2769.94,card,2025-11-03
P00603,O00291,1737.16,crypto,2025-09-15
P00604,O00986,4052.25,card,2025-12-21
P00605,O00452,462.87,ach,2025-04-18
P00606,O00412,2240.66,check,2025-04-18
P00607,O00788,4860.69,ach,2025-01-20
P00608,O00463,1378.13,card,2025-10-03
P00609,O00737,3140.96,check,2025-08-20
P00610,O00545,2464.89,crypto,2025-03-28
P00611,O00639,2875.09,check,2025-09-16
P00612,O00736,4228.33,ach,2025-06-17
P00613,O00591,984.79,card,2025-11-18
P00614,O00326,3409.41,card,2025-07-21
P00615,O00191,3413.28,ach,2025-06-02
P00616,O00713,1350.29,card,2025-11-28
